                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.0404,                 2.8982,                   2.57,                0.57749,                0.09669,                0.03663,                0.01155,                 3.0324,                 3.0618,                 2.8843,              0.0011059,              0.0011059,              0.0011059
                     36,                 3.0961,                 3.0682,                 2.7212,                0.57601,                 0.1547,                0.03901,                0.01228,                 3.0229,                 2.6782,                 2.6894,              0.0010894,              0.0010894,              0.0010894
                     37,                 2.9436,                 2.8756,                 2.4794,                0.57601,                 0.1547,                0.03901,                0.01228,                 3.0229,                 2.6782,                 2.6894,              0.0010729,              0.0010729,              0.0010729
                     38,                 3.0067,                 3.1084,                 2.4503,                 0.5819,                0.13812,                0.03881,                0.01218,                   3.04,                 2.7018,                 2.6099,              0.0010564,              0.0010564,              0.0010564
                     39,                 3.2539,                 2.9232,                 2.5209,                0.59601,                0.13536,                0.05802,                0.01615,                  3.003,                 2.4445,                  2.581,              0.0010399,              0.0010399,              0.0010399
                     40,                 3.0345,                 3.1094,                 2.3598,                0.59601,                0.13536,                0.05802,                0.01615,                  3.003,                 2.4445,                  2.581,              0.0010234,              0.0010234,              0.0010234
                     41,                 2.8649,                 2.8485,                 2.4361,                0.61427,                0.13536,                0.06563,                0.01952,                 2.9761,                 2.5207,                 2.5587,              0.0010069,              0.0010069,              0.0010069
                     42,                 2.7209,                 2.8756,                 2.3058,                0.61427,                0.13536,                0.06563,                0.01952,                 2.9761,                 2.5207,                 2.5587,             0.00099036,             0.00099036,             0.00099036
                     43,                  3.059,                 2.8926,                  2.544,                0.51128,                0.16106,                0.08108,                0.02543,                 2.9423,                 2.3216,                 2.5228,             0.00097386,             0.00097386,             0.00097386
                     44,                 3.0689,                 2.8369,                 2.5701,                0.51128,                0.16106,                0.08108,                0.02543,                 2.9423,                 2.3216,                 2.5228,             0.00095736,             0.00095736,             0.00095736
                     45,                  2.985,                  3.101,                 2.6382,                0.38456,                0.19838,                0.08996,                0.02675,                 2.9555,                 2.4011,                  2.479,             0.00094085,             0.00094085,             0.00094085
                     46,                 3.0717,                 3.0579,                 2.3607,                0.37399,                0.19729,                 0.1047,                0.03047,                  2.968,                 2.1666,                 2.4408,             0.00092435,             0.00092435,             0.00092435
                     47,                 2.9373,                 2.5861,                 2.4283,                0.37399,                0.19729,                 0.1047,                0.03047,                  2.968,                 2.1666,                 2.4408,             0.00090785,             0.00090785,             0.00090785
                     48,                 2.8807,                 2.7362,                 2.3766,                0.34028,                0.18457,                0.11001,                 0.0324,                 2.9352,                 2.0939,                 2.3891,             0.00089134,             0.00089134,             0.00089134
                     49,                 2.9224,                 2.9639,                 2.3057,                0.34028,                0.18457,                0.11001,                 0.0324,                 2.9352,                 2.0939,                 2.3891,             0.00087484,             0.00087484,             0.00087484
                     50,                 2.9457,                 2.7595,                 2.3304,                0.40572,                0.20281,                0.14089,                0.04224,                 2.8585,                 1.9701,                 2.2745,             0.00085834,             0.00085834,             0.00085834
                     51,                 2.9686,                 2.5798,                 2.4291,                0.44254,                0.25486,                0.14371,                0.04523,                  2.822,                 2.0562,                  2.237,             0.00084184,             0.00084184,             0.00084184
                     52,                  2.689,                 2.5576,                 2.2275,                0.44254,                0.25486,                0.14371,                0.04523,                  2.822,                 2.0562,                  2.237,             0.00082533,             0.00082533,             0.00082533
