                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97919,                0.62775,                0.95652,                0.92414,                0.75995,                 0.8262,                0.52581,                 1.1755,                0.69193,                 1.0475,             0.00082925,             0.00082925,             0.00082925
                     36,                0.97297,                0.61235,                0.95146,                0.86096,                0.79907,                0.82383,                0.53115,                 1.1514,                0.65136,                 1.0314,             0.00081688,             0.00081688,             0.00081688
                     37,                0.93616,                0.60433,                0.92978,                0.89774,                0.76594,                0.82511,                0.51912,                 1.1957,                0.67415,                 1.0442,              0.0008045,              0.0008045,              0.0008045
                     38,                0.96176,                0.60321,                0.94238,                0.93048,                0.73382,                0.83018,                0.53394,                 1.1717,                0.66525,                  1.041,             0.00079213,             0.00079213,             0.00079213
                     39,                0.93609,                0.59606,                0.93972,                0.86432,                 0.8004,                0.82854,                0.53242,                 1.2147,                0.64803,                 1.0604,             0.00077975,             0.00077975,             0.00077975
                     40,                0.92233,                0.57976,                0.93434,                0.90962,                0.76471,                0.82782,                0.53268,                  1.179,                0.64903,                 1.0458,             0.00076738,             0.00076738,             0.00076738
                     41,                0.95741,                 0.5915,                0.93453,                0.86679,                0.73379,                0.80613,                0.50302,                 1.2391,                0.71586,                 1.0717,               0.000755,               0.000755,               0.000755
                     42,                0.92259,                0.57086,                0.93473,                0.92016,                0.72941,                0.82622,                0.52012,                  1.215,                0.69604,                 1.0509,             0.00074263,             0.00074263,             0.00074263
                     43,                0.91454,                0.55919,                0.92727,                0.94687,                 0.7635,                0.84935,                0.54645,                 1.1944,                0.63336,                 1.0431,             0.00073025,             0.00073025,             0.00073025
                     44,                0.91063,                0.54765,                0.91761,                0.92648,                 0.7516,                  0.839,                 0.5318,                 1.2184,                0.64972,                 1.0696,             0.00071788,             0.00071788,             0.00071788
                     45,                0.90522,                0.56168,                0.92516,                0.93775,                0.74796,                0.85103,                0.54846,                 1.1939,                0.62244,                 1.0855,              0.0007055,              0.0007055,              0.0007055
                     46,                0.90935,                0.55107,                0.91687,                0.87575,                0.77746,                0.83529,                0.52704,                  1.237,                0.63662,                 1.0931,             0.00069313,             0.00069313,             0.00069313
                     47,                0.88864,                0.54439,                0.91345,                0.90414,                0.78688,                0.85105,                0.55357,                 1.1941,                0.63722,                 1.0628,             0.00068075,             0.00068075,             0.00068075
                     48,                 0.8628,                0.53314,                0.90768,                0.92204,                0.76057,                0.84992,                0.54517,                 1.2022,                 0.6226,                 1.0711,             0.00066838,             0.00066838,             0.00066838
                     49,                0.88668,                0.53456,                0.91782,                0.92136,                0.76911,                0.83537,                0.54101,                 1.2094,                0.63669,                 1.0763,               0.000656,               0.000656,               0.000656
                     50,                0.90054,                0.54531,                0.91662,                0.93407,                0.78673,                0.84577,                0.52257,                 1.2356,                0.63174,                 1.0717,             0.00064362,             0.00064362,             0.00064362
                     51,                0.87045,                0.52082,                0.90773,                 0.9547,                0.78846,                0.85327,                0.55147,                 1.1597,                0.61533,                 1.0387,             0.00063125,             0.00063125,             0.00063125
                     52,                0.87371,                0.52225,                0.90665,                0.94858,                0.78719,                0.85583,                0.56321,                 1.1648,                0.58865,                 1.0499,             0.00061887,             0.00061887,             0.00061887
                     53,                0.86783,                 0.5087,                0.90061,                0.91512,                0.76951,                0.84731,                0.54402,                 1.1671,                0.59206,                 1.0412,              0.0006065,              0.0006065,              0.0006065
                     54,                0.86208,                0.51824,                0.90082,                0.91227,                0.78067,                0.83863,                0.53839,                 1.1723,                 0.6024,                  1.054,             0.00059413,             0.00059413,             0.00059413
                     55,                0.83401,                0.49672,                 0.9039,                0.92142,                0.75671,                  0.842,                0.55468,                 1.1841,                0.63117,                  1.047,             0.00058175,             0.00058175,             0.00058175
                     56,                0.85202,                 0.5089,                0.90931,                0.93576,                0.73701,                0.82943,                 0.5261,                 1.2219,                0.67986,                  1.067,             0.00056938,             0.00056938,             0.00056938
                     57,                0.84853,                0.49783,                0.89736,                0.89292,                0.78872,                0.83349,                 0.5528,                 1.1195,                0.62941,                 1.0199,               0.000557,               0.000557,               0.000557
                     58,                0.84181,                0.50403,                0.90645,                0.85458,                0.81968,                0.85002,                0.55905,                  1.124,                 0.6178,                  1.012,             0.00054463,             0.00054463,             0.00054463
                     59,                0.83092,                0.49214,                0.90296,                0.93271,                0.73176,                0.84243,                0.55728,                 1.1434,                0.63774,                 1.0229,             0.00053225,             0.00053225,             0.00053225
                     60,                0.80879,                0.48262,                0.89439,                0.89065,                0.79972,                0.85142,                0.56337,                 1.1514,                0.60308,                 1.0354,             0.00051988,             0.00051988,             0.00051988
                     61,                0.81319,                0.48796,                0.89837,                0.88944,                   0.82,                0.85394,                0.56325,                 1.1627,                0.59368,                 1.0424,              0.0005075,              0.0005075,              0.0005075
                     62,                0.81612,                 0.4972,                0.90582,                0.91623,                 0.7883,                0.85976,                  0.562,                 1.1681,                0.60307,                 1.0426,             0.00049513,             0.00049513,             0.00049513
                     63,                0.80567,                0.47934,                0.88788,                0.91143,                0.77291,                0.85825,                0.57611,                  1.143,                0.60079,                 1.0236,             0.00048275,             0.00048275,             0.00048275
                     64,                0.80579,                0.47281,                0.88488,                0.92974,                0.78349,                0.86066,                0.56296,                 1.1173,                0.59721,                 1.0173,             0.00047038,             0.00047038,             0.00047038
                     65,                0.80179,                0.47893,                0.88067,                0.85927,                0.81084,                0.85487,                0.56088,                 1.1465,                0.60491,                 1.0307,               0.000458,               0.000458,               0.000458
                     66,                0.79019,                0.46574,                0.88686,                   0.88,                0.81042,                 0.8517,                0.55175,                 1.1649,                 0.6175,                 1.0401,             0.00044563,             0.00044563,             0.00044563
                     67,                0.78732,                0.46447,                0.89227,                0.93195,                0.74874,                0.84454,                0.55142,                 1.1829,                0.61944,                 1.0642,             0.00043325,             0.00043325,             0.00043325
                     68,                0.78706,                0.45934,                0.88843,                0.85297,                0.81302,                0.85083,                0.55292,                 1.1633,                0.63226,                 1.0528,             0.00042087,             0.00042087,             0.00042087
                     69,                0.78778,                0.46405,                0.87862,                0.88806,                0.79583,                0.84502,                0.55792,                 1.1477,                0.58646,                 1.0546,              0.0004085,              0.0004085,              0.0004085
                     70,                  0.758,                0.44708,                0.87027,                0.92983,                 0.7702,                 0.8588,                0.56508,                 1.1533,                0.58853,                 1.0433,             0.00039613,             0.00039613,             0.00039613
                     71,                0.76984,                0.45311,                0.88486,                0.89163,                0.78577,                0.85499,                0.57526,                 1.1401,                0.58989,                 1.0349,             0.00038375,             0.00038375,             0.00038375
                     72,                0.75128,                0.44664,                 0.8804,                0.89652,                0.78134,                0.84869,                0.56235,                 1.1339,                0.59816,                   1.03,             0.00037138,             0.00037138,             0.00037138
                     73,                0.75551,                0.45727,                0.87487,                 0.9057,                 0.7686,                0.84073,                0.56188,                 1.1404,                0.59743,                 1.0392,               0.000359,               0.000359,               0.000359
                     74,                0.74013,                0.44077,                 0.8675,                0.95544,                0.73985,                0.84027,                0.55947,                 1.1507,                0.60731,                 1.0531,             0.00034663,             0.00034663,             0.00034663
                     75,                0.75258,                0.43649,                0.87678,                0.93096,                0.76342,                0.83937,                0.56949,                 1.1306,                0.59392,                 1.0495,             0.00033425,             0.00033425,             0.00033425
                     76,                0.74982,                0.44044,                 0.8747,                0.91264,                0.77785,                0.84455,                0.56483,                 1.1323,                0.60884,                 1.0381,             0.00032188,             0.00032188,             0.00032188
                     77,                0.75115,                0.44168,                0.87139,                0.90669,                0.80021,                0.84643,                 0.5684,                 1.1109,                 0.5954,                  1.029,              0.0003095,              0.0003095,              0.0003095
                     78,                0.74909,                0.43657,                0.87062,                0.89814,                0.79724,                0.84964,                0.56603,                 1.1362,                0.59742,                 1.0408,             0.00029713,             0.00029713,             0.00029713
                     79,                0.72549,                0.43008,                0.88056,                0.86716,                 0.7952,                0.84306,                 0.5642,                 1.1335,                0.62231,                  1.043,             0.00028475,             0.00028475,             0.00028475
                     80,                0.73563,                0.42213,                0.87311,                 0.8973,                0.79608,                0.85578,                0.56652,                 1.1276,                0.60478,                  1.041,             0.00027237,             0.00027237,             0.00027237
                     81,                0.72203,                0.43259,                0.87443,                0.90095,                 0.7946,                0.85257,                0.56059,                 1.1444,                0.60143,                 1.0443,                0.00026,                0.00026,                0.00026
